row_number(),Pests,Pests_Key,Pests_Sub_Key,Sci_Name,Res_MOA_Group
1508,APPLE TREES (UP TO 15 CENTIMETRES DBH),APPLE TREE,APPLE TREE,MALUS DOMESTICA,
1509,WILLOW (SALIX SPP.),WILLOW,WILLOW,SALIX SPP.,
1510,"BINDWEED, FIELD",BINDWEED,FIELD BINDWEED,CONVOLVULUS ARVENSIS,
1511,CANADA FLEABANE (INCLUDING GLYPHOSATERESISTANT SPECIES),FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
1512,"COCKLE, COW",COW COCKLE,COW COCKLE,VACCARIA HISPANICA,2
1513,COMMON WATERHEMP (INCLUDING GLYPHOSATERESISTANT SPECIES),AMARANTH,COMMON WATERHEMP,AMARANTHUS TAMARISCINUS,
1514,LADY'STHUMB,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
1515,LAMBSQUARTERS (INCLUDING ATRAZINERESISTANT SPECIES),LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
1516,"MUSTARD, HARE'SEAR",HARE'S EAR MUSTARD,HARE'S EAR MUSTARD,CONRINGIA ORIENTALIS,
1517,"MUSTARD, INDIAN",MUSTARD,INDIAN MUSTARD,BRASSICA JUNCEA,
1518,"PIGWEED, GREEN",AMARANTH,GREEN PIGWEED,AMARANTHUS POWELLII,"2,5,14,2+4,2+5"
1519,"PIGWEED, RUSSIAN",RUSSIAN PIGWEED,RUSSIAN PIGWEED,AXYRIS AMARANTHOIDES,
1520,"RAGWEED, COMMON (INCLUDING ATRAZINERESISTANT AND GLYPHOSATERESISTANT SPECIES)",RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
1521,"RAGWEED, FALSE",RAGWEED,FALSE RAGWEED,AMBROSIA ACANTHICARPA,
1522,"RAGWEED, GIANT (INCLUDING GLYPHOSATERESISTANT SPECIES)",RAGWEED,GIANT RAGWEED,AMBROSIA TRIFIDA,"9,2+9"
1523,REDROOT PIGWEED (INCLUDING ATRAZINERESISTANT SPECIES),AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
1524,"SMARTWEED, GREEN",SMARTWEED,GREEN SMARTWEED,PERSICARIA LAPATHIFOLIA,2
1525,LAMB?S QUARTER,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
1526,DANDELION (EARLY-SEASON CONTROL ONLY ON MEDIUM-TEXTURED SOILS),DANDELION,COMMON DANDELION,TARAXACUM OFFICINALE,
1527,GREEN PIGWEED,AMARANTH,GREEN PIGWEED,AMARANTHUS POWELLII,"2,5,14,2+4,2+5"
1528,PALMER AMARANTH,AMARANTH,PALMER AMARANTH,AMARANTHUS PALMERI,
1529,"WATERHEMP INCLUDING BIOTYPES RESISTANT TO HERBICIDE GROUP 2, 5 AND 9",AMARANTH,WATERHEMP,AMARANTHUS SPP.,"2,2+5,2+9,2+14,2+27,5+9,2+5+9,2+9+14,2+5+9+14,2+5+9+14+27"
1530,SMOOTH CRABGRASS (DIGITARIA ISCHAEMUM),CRABGRASS,SMOOTH CRABGRASS,DIGITARIA ISCHAEMUM,
1531,ALDER ALNUS SPP.,ALDER,ALDER,ALNUS SPP.,
1532,ALFALFA MEDICAGO SPP,ALFALFA,ALFALFA,MEDICAGO SATIVA,
1533,ANNUAL WEEDS AND QUACKGRASS,ANNUAL WEEDS AND QUACKGRASS,ANNUAL WEEDS AND QUACKGRASS,,
1534,BIRCH BETULA SPP.,BIRCH,BIRCH,BETULA SPP.,
1535,BROADLEAVED MEADOWSWEET SPIRAEA LATIFOLIA,BROADLEAVED MEADOWSWEET,BROADLEAVED MEADOWSWEET,SPIRAEA LATIFOLIA,
1536,CEDAR THUJA SPP.,CEDAR,CEDAR,THUJA SPP.,
1537,CHERRY PRUNUS SPP.,CHERRY,CHERRY,PRUNUS SPP.,
1538,DODDER SPECIES,DODDER,DODDER,CUSCUTA SPP.,
1539,DOUGLAS FIR PSEUDOTSUGA SPP.,DOUGLAS FIR,DOUGLAS FIR,PSEUDOTSUGA SPP.,
1540,FALL SEEDED RYEGRASS,RYE GRASS,FALL SEEDED RYE GRASS,LOLIUM PERENNE,
1541,FIELD BINDWEED CONVOLVULUS ARVENSIS,BINDWEED,FIELD BINDWEED,CONVOLVULUS ARVENSIS,
1542,FOXTAIL GIANT,FOXTAIL,GIANT FOXTAIL,SETARIA FABERI,2
1543,HEMLOCK TSUGA SPP.,HEMLOCK,HEMLOCK,TSUGA SPP.,
1544,LADYS- THUMB,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
1545,MAPLE ACER SPP.,MAPLE,MAPLE,ACER SPP.,
1546,MILKWEED (COMMON),MILKWEED,COMMON MILKWEED,ASCLEPIAS SYRIACA,
1547,MOUNTAIN-FLY HONEYSUCKLE LONICERA VILLOSA,HONEYSUCKLE,MOUNTAINFLY HONEYSUCKLE,LONICERA VILLOSA,
1548,NARROW LEAVED HAWK'S-BEARD,HAWKSBEARD,NARROWLEAF HAWKSBEARD,CREPIS TECTORUM,2
1549,NON- ROUNDUP READY® CANOLA (RAP,CANOLA,CANOLA,BRASSICA NAPUS,
1550,BABY'S BREATH,BABY'S BREATH,BABY'S BREATH,GYPSOPHILA PANICULATA,
1551,FRINGED SAGE BRUSH,SAGE,FRINGED SAGEBRUSH,ARTEMISIA FRIGIDA,
1552,LAMBKILL,SHEEP LAUREL,LAMB KILL,KALMIA ANGUSTIFOLIA,
1553,PERENNIAL CINQUEFOIL,CINQUEFOIL,PERENNIAL CINQUEFOIL,POTENTILLA SPP.,
1554,VELVET GRASS,VELVET GRASS,VELVET GRASS,HOLCUS LANATUS,
1555,MOUNTAIN-FLY HONEYSUCKLE,HONEYSUCKLE,MOUNTAINFLY HONEYSUCKLE,LONICERA VILLOSA,
1556,BIENNIAL WORMWOOD (2-8 LEAF STAGE),WORMWOOD,BIENNIAL WORMWOOD,ARTEMISIA BIENNIS,
1557,CANADA THISTLE (TOP GROWTH),THISTLE,CANADA THISTLE,CIRSIUM ARVENSE,
1558,GIANT RAGWEED (2-8 LEAF STAGE),RAGWEED,GIANT RAGWEED,AMBROSIA TRIFIDA,"9,2+9"
1559,KOCHIA (LESS THAN 15 CM HIGH),KOCHIA,KOCHIA,BASSIA SCOPARIA,"2,2+4,2+9,2+14,2+4+9"
1560,PERENNIAL SOW THISTLE (AT THE 2-10 LEAF STAGE),SOW THISTLE,PERENNIAL SOW THISTLE,SONCHUS ARVENSIS,
1561,VOLUNTEER ADZUKI BEANS (AT THE UNIFOLIATE TO THIRD TRIFOLIATE STAGE),ADZUKI BEAN,VOLUNTEER ADZUKI BEAN,VIGNA ANGULARIS,
1562,VOLUNTEER CANOLA (AT THE COTYLEDON TO 4-LEAF STAGE),CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1563,BROADLEAF WEED,BROADLEAF WEEDS,BROADLEAF WEEDS,,
1564,PERENNIAL GRASSES,GRASS,GRASS,,
1565,PERENNIAL WEEDS,WEEDS,WEEDS,,
1566,LOW LINOLENIC ACID VARIETIES FLAX,FLAX,FLAX LOW LINOLENIC ACID,LINUM SPP.,
1567,TRIAZINE TOLERANT WEEDS,WEEDS,TRIAZINE TOLERANT WEEDS,,
1568,VOLUNTEER CANOLA (NON-CLEARFIELD CANOLA),CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1569,VOLUNTEER CANOLA (NON-IMAZETHAPYR TOLERANT CANOLA),CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1570,ALDERS,ALDER,ALDER,ALNUS SPP.,
1571,ANNUAL SMARTWEEDS,SMARTWEED,ANNUAL SMARTWEED,POLYGONUM PENSYLVANICUM,
1572,BALL MUSTARDS,BALL MUSTARD,BALL MUSTARD,NESLIA PANICULATA,2
1573,COMMON RAGWEED (INCLUDING TRIAZINE RESISTANT WEEDS),RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
1574,JERUSALEM ARTICHOKE,JERUSALEM ARTICHOKE,JERUSALEM ARTICHOKE,HELIANTHUS TUBEROSUS,
1575,PROSTRATE PIGWEED (INCLUDING TRIAZINE RESISTANT WEEDS),AMARANTH,PROSTRATE PIGWEED,AMARANTHUS BLITOIDES,
1576,RAGWORT,RAGWORT,RAGWORT,JACOBAEA VULGARIS,
1577,REDROOT PIGWEED (INCLUDING TRIAZINE RESISTANT WEEDS),AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
1578,SHEEP-LAUREL,SHEEP LAUREL,SHEEP LAUREL,KALMIA ANGUSTIFOLIA,
1579,TALL MUSTARDS,TALL MUSTARD,TALL MUSTARD,SISYMBRIUM ALTISSIMUM,
1580,VOLUNTEER CULTIVATED BUCKWHEAT,BUCKWHEAT,VOLUNTEER BUCKWHEAT,FAGOPYRUM ESCULENTUM,
1581,WILD MUSTARDS,WILD MUSTARD,WILD MUSTARD,RHAMPHOSPERMUM ARVENSE,"2,4,5"
1582,WORMSEED MUSTARDS,WORMSEED MUSTARD,WORMSEED MUSTARD,ERYSIMUM CHEIRANTHOIDES L.,
1583,YELLOW MUSTARDS,YELLOW MUSTARD,YELLOW MUSTARD,SINAPIS ALBA,
1584,HARE?S-EAR MUSTARD,HARE'S EAR MUSTARD,HARE'S EAR MUSTARD,CONRINGIA ORIENTALIS,
1585,VOLUNTEER SUNFLOWERS,SUNFLOWER,VOLUNTEER SUNFLOWER,HELIANTHUS ANNUUS,
1586,NON-GLYPHOSATE TOLERANT VOLUNTEER CANOLA (RAPESEED),CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1587,DANDELION  <15 CM DIAMETER,DANDELION,COMMON DANDELION,TARAXACUM OFFICINALE,
1588,JOHNSONGRASS,JOHNSON GRASS,JOHNSON GRASS,SORGHUM HALEPENSE,
1589,ANNUAL BROADLEAVED WEEDS,ANNUAL BROADLEAF WEEDS,ANNUAL BROADLEAF WEEDS,,
1590,BLACKBERRY,BLACKBERRY,BLACKBERRY,RUBUS SPP.,
1591,BUCKTHORN,BUCKTHORN,BUCKTHORN,RHAMNUS CATHARTICA,
1592,COTTONWOOD,COTTONWOOD,COTTONWOOD,POPULUS SPP.,
1593,ELDERBERRY,ELDERBERRY,ELDERBERRY,SAMBUCUS SPP.,
1594,HAWTHORN,HAWTHORN,HAWTHORN,CRATAEGUS SPP.,
1595,HONEY LOCUST,HONEY LOCUST,HONEY LOCUST,GLEDITSIA TRIACANTHOS,
1596,HOP-HORNBEAM,HOPHORNBEAM,HOPHORNBEAM,OSTRYA VIRGINIANA,
1597,LOCUST,LOCUST,LOCUST,ROBINIA SPP.,
1598,MAPLES,MAPLE,MAPLE,ACER SPP.,
1599,MULBERRY,MULBERRY,MULBERRY,MORUS SPP.,
1600,OAKS,OAK,OAK,QUERCUS SPP.,
1601,PERENNIAL BROADLEAVED WEEDS,BROADLEAF WEEDS,BROADLEAF WEEDS,,
1602,PINES,PINE,PINE,PINUS SPP.,
1603,POISON OAK,POISON OAK,POISON OAK,TOXICODENDRON SPP.,
1604,RED MAPLE,MAPLE,RED MAPLE,ACER RUBRUM,
1605,SASSAFRAS,SASSAFRAS,SASSAFRAS,SASSAFRAS ALBIDUM,
1606,SMOOTH BEDSTRAW,BEDSTRAW,SMOOTH BEDSTRAW,GALLUM MOLLUGO L.,
1607,SYCAMORE,SYCAMORE,SYCAMORE,PLATANUS OCCIDENTALIS,
1608,TAMARACK,TAMARACK,TAMARACK,LARIX LARICINA,
1609,UNDESIRABLE WOODY PLANTS,WOODY WEEDS,WOODY WEEDS,,
1610,WILD LETTUCE,LETTUCE,WILD LETTUCE,LACTUCA VIROSA,
1611,WITCHHAZEL,WITCHHAZEL,WITCHHAZEL,HAMAMELIS VIRGINIANA,
1612,CANADA FLEABANE INCLUDING GROUP 9 (GLYPHOSATE) AND GROUP 2 (ALS INHIBITING HERBICIDES) RESISTANT BIOTYPES,FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
1613,CLEAVERS (1-9 WHORL STAGE),CLEAVERS,CLEAVERS,GALIUM APARINE L.,
1614,"RAGWEED, COMMON (UP TO 6-LEAF STAGE) INCLUDING GROUP 9 (GLYPHOSATE) AND GROUP 2 (ALS INHIBITING HERBICIDES) RESISTANT BIOTYPES",RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
1615,LARGE (HAIRY) CRABGRASS,CRABGRASS,CRABGRASS,DIGITARIA SANGUINALIS,1
1616,OLD-WITCH GRASS,WITCHGRASS,OLD WITCHGRASS,PANICUM CAPILLARE,5
1617,REDROOT PIGWEED (INCLUDING TRIAZINE RESISTANT),AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
1618,VOLUNTEER CANOLA INCLUDING GLYPHOSATE TOLERANT VARIETIES,CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1619,ROUNDLEAVED MALLOW,MALLOW,ROUND LEAVED MALLOW,MALVA PUSILLA,
1620,QUACKGRASS (3 TO 6 LEAF STAGE (< 25 CM - LEAF EXTENDED)),QUACKGRASS,QUACKGRASS,ELYMUS REPENS,
1621,"VOLUNTEER CANOLA, INCLUDING GLYPHOSATE TOLERANT VARIETIES",CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1622,COMMON LAMB'S QUARTERS INCLUDING ATRAZINE-RESISTANT SPECIES,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,
1623,COMMON RAGWEED INCLUDING ATRAZINE-RESISTANT SPECIES,RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
1624,"HAWKS-BEARD, NARROW LEAVED",HAWKSBEARD,NARROWLEAF HAWKSBEARD,CREPIS TECTORUM,2
1625,"MUSTARD, HARES-EAR",HARE'S EAR MUSTARD,HARE'S EAR MUSTARD,CONRINGIA ORIENTALIS,
1626,REDROOT PIGWEED INCLUDING ATRAZINE-RESISTANT SPECIES,AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
1627,KNOTWEED (BEFORE 4 LEAF STAGE),KNOTWEED,KNOTWEED,REYNOUTRIA SPP.,
1628,NOT LISTED,NA,NA,,
1629,SMARTWEED GREEN,SMARTWEED,GREEN SMARTWEED,PERSICARIA LAPATHIFOLIA,2
1630,VOLUNTEER CANOLA *INCLUDING GLYPHOSATE TOLERANT AND CLEARFIELD CANOLA VARIETIES,CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1631,"BARLEY, VOLUNTEER",BARLEY,VOLUNTEER BARLEY,HORDEUM VULGARE,
1632,"BINDWEED, HEDGE",BINDWEED,HEDGE BINDWEED,CALYSTEGIA SEPIUM,
1633,BURDOCK (BEFORE 4 LEAF),BURDOCK,BURDOCK,ARCTIUM LAPPA,
1634,"CANOLA, VOLUNTEER (1- TO 4-LEAF STAGE ONLY, ALL BIOTYPES)",CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1635,"CHICKWEED, MOUSE-EARED",MOUSE-EARED CHICKWEED,MOUSE-EARED CHICKWEED,CERASTIUM FONTANUM,
1636,"CLEAVERS, COMMON",CLEAVERS,CLEAVERS,GALIUM APARINE L.,
1637,"FLAX, VOLUNTEER",FLAX,VOLUNTEER FLAX,LINUM SPP.,
1638,"FLEABANE, CANADA",FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
1639,"FLEABANE, DAISY",FLEABANE,DAISY FLEABANE,ERIGERON ANNUUS,
1640,"FOXTAIL (GIANT, GREEN)",FOXTAIL,GIANT AND GREEN FOXTAIL,SETARIA SPP.,
1641,"HORSETAIL, FIELD",HORSETAIL,FIELD HORSETAIL,EQUISETUM ARVENSE,
1642,"MILKWEED, COMMON",MILKWEED,COMMON MILKWEED,ASCLEPIAS SYRIACA,
1643,"MUSTARD, DOG",DOG MUSTARD,DOG MUSTARD,ERUCASTRUM GALLICUM,
1644,"NETTLE, STINGING",STINGING NETTLE,STINGING NETTLE,URTICA DIOICA,
1645,"NIGHTSHADE, EASTERN BLACK FLOWERING",NIGHTSHADE,EASTERN BLACK NIGHTSHADE,SOLANUM PTYCANTHUM,"2,22"
1646,"NUTSEDGE, YELLOW",NUTSEDGE,YELLOW NUTSEDGE,CYPERUS ESCULENTUS,
1647,"PLANTAIN, COMMON",PLANTAIN,COMMON PLANTAIN,PLANTAGO MAJOR,
1648,"PROSO MILLET, WILD",PROSO MILLET,PROSO MILLET,PANICUM MILIACEUM,
1649,"RADISH, WILD",WILD RADISH,WILD RADISH,RAPHANUS RAPHANISTRUM,
1650,"SORREL, SHEEP",SORREL,SHEEP SORREL,RUMEX ACETOSELLA,5
1651,"SOW-THISTLE, ANNUAL",SOW THISTLE,ANNUAL SOW THISTLE,SONCHUS OLERACEUS,
1652,"SUNFLOWER, WILD",WILD SUNFLOWER,WILD SUNFLOWER,JERUSALEM ARTICHOKE,
1653,"TANSY, COMMON",TANSY,COMMON TANSY,TANACETUM VULGARE,
1654,"WHEAT, VOLUNTEER",WHEAT,VOLUNTEER WHEAT,TRITICUM SPP.,
1655,ANNUAL RYE GRASS (ITALIAN RYE GRASS),RYE GRASS,ITALIAN RYE GRASS,LOLIUM MULTIFLORUM,
1656,BARNYARD GRASS (WATER GRASS),BARNYARD GRASS,COMMON BARNYARD GRASS,ECHINOCHLOA CRUSGALLI,5
1657,GREEN FOXTAILS,FOXTAIL,GREEN FOXTAIL,SETARIA VIRIDIS,"2,1,1+3,3"
1658,HENBIT (DEADNETTLE),HENBIT,DEADNETTLE,LAMIUM AMPLEXICAULE,
1659,NETTLELEAF GOOSEFOOT,GOOSEFOOT,NETTLELEAF GOOSEFOOT,CHENOPODIUM MURALE,
1660,QUACK GRASS (COUCH GRASS),QUACKGRASS,COUCH GRASS,ELYMUS REPENS,
1661,QUACK GRASS (TWITCH GRASS),QUACKGRASS,TWITCH GRASS,ELYMUS REPENS,
1662,YELLOW FOXTAILS,FOXTAIL,YELLOW FOXTAIL,SETARIA PUMILA,5
1663,YELLOW NUTSEDGE (NUT GRASS),NUTSEDGE,YELLOW NUTSEDGE,CYPERUS ESCULENTUS,
1664,VOLUNTEER IMAZETHAPYR AND IMAZAMOX TOLERANT WHEAT,WHEAT,VOLUNTEER DURUM WHEAT,TRITICUM DURUM,
1665,CANADA FLEABANE (INCLUDES GLYPHOSATE- RESISTANT BIOTYPES),FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
1666,COMMON RAGWEED (INCLUDES GLYPHOSATE- RESISTANT BIOTYPES),RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
1667,DRY COMMON BEANS (HARVEST AID),COMMON BEAN,DRY COMMON BEANS,PHASEOLUS VULGARIS,
1668,GIANT RAGWEED GLYPHOSATE- RESISTANT BIOTYPES,RAGWEED,GIANT RAGWEED,AMBROSIA TRIFIDA,"9,2+9"
1669,PRICKLY LETTUCE (TOP GROWTH ONLY),LETTUCE,PRICKLY LETTUCE,LACTUCA SERRIOLA,
1670,SOYBEANS (HARVEST AID),SOYBEAN,SOYBEAN,GLYCINE MAX,
1671,CANADA FLEABANE INCLUDES GLYPHOSATE- RESISTANT BIOTYPES,FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
1672,CANOLA (HARVEST AID),CANOLA,CANOLA,BRASSICA NAPUS,
1673,COMMON RAGWEED  INCLUDES GLYPHOSATE- RESISTANT BIOTYPES,RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
1674,VOLUNTEER CANOLA (ALL TYPES INCLUDING ROUNDUP READY),CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1675,BARNYARD GRASS (1  5 LEAF),BARNYARD GRASS,COMMON BARNYARD GRASS,ECHINOCHLOA CRUSGALLI,5
1676,"BROME, DOWNY (2-6 LEAF, 4 TILLERS)",BROME,DOWNY BROME,BROMUS TECTORUM,9
1677,"BROME, JAPANESE (1  6 LEAF)",BROME,JAPANESE BROME,BROMUS JAPONICUS THUNB. EX MURR,
1678,"CANOLA, VOLUNTEER (1  6 LEAF)",CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1679,"CANOLA, VOLUNTEER (1  6 LEAF) (INCLUDING VARIETIES RESISTANT TO GROUP 9 (GLYPHOSATE) AND GROUP 10 (GLUFOSINATE AMMONIUM) HERBICIDES)",CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1680,"CHICKWEED, COMMON (UP TO 10 CM)",CHICKWEED,COMMON CHICKWEED,STELLARIA MEDIA,2
1681,CLEAVERS (1  8 WHORLS),CLEAVERS,CLEAVERS,GALIUM APARINE L.,
1682,"CORN SPURRY (UP TO 2 WHORL STAGE, <10 CM)",CORN SPURRY,CORN SPURRY,SPERGULA ARVENSIS,
1683,DANDELION (SEEDLINGS AND OVER-WINTERED ROSETTES LESS THAN OR EQUAL TO 20 CM),DANDELION,COMMON DANDELION,TARAXACUM OFFICINALE,
1684,"FLAX, VOLUNTEER (1  12 CM)",FLAX,VOLUNTEER FLAX,LINUM SPP.,
1685,FLIXWEED (UP TO 10 CM),FLIXWEED,FLIXWEED,DESCURANIA SOPHIA,
1686,"FOXTAIL, GREEN (1-5 LEAF)",FOXTAIL,GREEN FOXTAIL,SETARIA VIRIDIS,"2,1,1+3,3"
1687,"FOXTAIL, YELLOW (1  5 LEAF)",FOXTAIL,YELLOW FOXTAIL,SETARIA PUMILA,5
1688,HEMPNETTLE (1  8 LEAF),HEMPNETTLE,COMMON HEMPNETTLE,GALEOPSIS TETRAHIT,"2,4"
1689,JAPANESE BROME (1  4 LEAF),BROME,JAPANESE BROME,BROMUS JAPONICUS THUNB. EX MURR,
1690,KOCHIA (2  8 LEAF),KOCHIA,KOCHIA,BASSIA SCOPARIA,"2,2+4,2+9,2+14,2+4+9"
1691,"OATS, WILD (<75 PLANTS/M2, UP TO 4 LEAF, 2 TILLER)",OAT,WILD OAT,AVENA FATUA,"1,2,15,1+2,1+2+15,1+2+14+15"
1692,"OATS, WILD (UP TO 4 LEAF, 2 TILLER)",OAT,WILD OAT,AVENA FATUA,"1,2,15,1+2,1+2+15,1+2+14+15"
1693,"PIGWEED, RED-ROOT (1-8 LEAF)",AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
1694,"ROUND-LEAVED MALLOW (UP TO 6 LEAF STAGE, <10 CM)",MALLOW,ROUND LEAVED MALLOW,MALVA PUSILLA,
1695,STORKS BILL (1  8 LEAF),STORKS BILL,STORKS BILL,ERODIUM CICUTARIUM,
1696,STORKS-BILL (1  8 LEAF),STORKS BILL,STORKS BILL,ERODIUM CICUTARIUM,
1697,"THISTLE, CANADA (UP TO 30 CM TALL, PREBUD)",THISTLE,CANADA THISTLE,CIRSIUM ARVENSE,
1698,"THISTLE, RUSSIAN (UP TO 10 CM TALL)",RUSSIAN THISTLE,RUSSIAN THISTLE,KALI TRAGUS,2
1699,WILD BUCKWHEAT (1  4 LEAF),BUCKWHEAT,WILD BUCKWHEAT,FALLOPIA CONVOLVULUS,2
1700,EASTERN WHITE PINE,PINE,EASTERN WHITE PINE,PINUS STROBUS,
1701,JACK PINE,PINE,JACK PINE,PINUS BANKSIANA,
1702,PINE SPECIES,PINE,PINE,PINUS SPP.,
1703,RED PINE,PINE,RED PINE,PINUS RESINOSA,
1704,WESTERN WHITE PINE,PINE,WESTERN WHITE PINE,PINUS MONTICOLA,
1705,"ANNUAL BROME GRASSES INCLUDING DOWNY BROME, RIPGUT BROME, CHEAT",BROME,BROME,BROMUS SPP.,
1706,CHEATGRASS,BROME,CHEAT GRASS,BROMUS TECTORUM,9
1707,"CHICKWEED, MOUSE-EAR",MOUSE-EAR CHICKWEED,MOUSE-EAR CHICKWEED,CERASTIUM VULGATUM,
1708,"CLOVER, WHITE",CLOVER,WHITE CLOVER,TRIFOLIUM REPENS,
1709,CORN SPEEDWELL,SPEEDWELL,CORN SPEEDWELL,VERONICA ARVENSIS,
1710,"CRABGRASS, HAIRY",CRABGRASS,HAIRY CRABGRASS,DIGITARIA SANGUINALIS,
1711,CURLEY DOCK,SORREL,CURLED DOCK,RUMEX CRISPUS,
1712,LITTLE MALLOW,MALLOW,LITTLE MALLOW,MALVA PARIFLORA,
1713,LONDON ROCKET,LONDON ROCKET,LONDON ROCKET,SISYMBRIUM IRIO,
1714,"PLANTAIN, BUCKTHORN",PLANTAIN,BUCKTHORN PLANTAIN,PLANTAGO LANCEOLATA,
1715,PROSTRATE KNOTWEED,KNOTWEED,PROSTRATE KNOTWEED,POLYGONUM AVICULARE,
1716,"RYEGRASS, ANNUAL",RYE GRASS,ANNUAL RYE GRASS,LOLIUM MULTIFLORUM,
1717,"RYEGRASS, PERENNIAL",RYE GRASS,PERENNIAL RYE GRASS,LOLIUM PERENNE,9
1718,"SEDGE, (GLOBE) EMERGING FROM SEED",SEDGE,GLOBE SEDGE,CYPERUS GLOBULOSUS,
1719,TUFTED LOVEGRASS,TUFTED LOVEGRASS,TUFTED LOVEGRASS,ERAGROSTIS PECTINACEA,
1720,"VETCH, PURPLE",VETCH,PURPLE VETCH,VICIA AMERICANA,
1721,GREEN FOXTAIL (WILD MILLET - SETARIA VIRIDIS),FOXTAIL,GREEN FOXTAIL,SETARIA VIRIDIS,"2,1,1+3,3"
1722,GREEN SMARTWEED (POLYGONUM SCABRUM MOENCH.),SMARTWEED,GREEN SMARTWEED,PERSICARIA LAPATHIFOLIA,2
1723,SHEPHERD'S PURSE (CAPSELLA BURSA-PASTORIS),SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
1724,VOLUNTEER CANOLA (BRASSICA NAPUS),CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1725,WILD BUCKWHEAT (FALLOPIA CONVOLVULUS),BUCKWHEAT,WILD BUCKWHEAT,FALLOPIA CONVOLVULUS,2
1726,WILD MUSTARD (BRASSICA KABER),WILD MUSTARD,WILD MUSTARD,RHAMPHOSPERMUM ARVENSE,"2,4,5"
1727,WILD OAT (AVENA FATUA),OAT,WILD OAT,AVENA FATUA,"1,2,15,1+2,1+2+15,1+2+14+15"
1728,OLD WITCH GRASS,WITCHGRASS,OLD WITCHGRASS,PANICUM CAPILLARE,5
1729,ALFALFA VOLUNTEER (UP TO 25 CM IN HEIGHT),ALFALFA,ALFALFA,MEDICAGO SATIVA,
1730,"BUCKWHEAT, WILD (1-8 LEAF STAGE)",BUCKWHEAT,WILD BUCKWHEAT,FALLOPIA CONVOLVULUS,2
1731,"CANADA THISTLE (UP TO THE BOLTING STAGE, 30 CM IN HEIGHT)",THISTLE,CANADA THISTLE,CIRSIUM ARVENSE,
1732,"CANOLA, VOLUNTEER (1-8 LEAF STAGE)",CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1733,CHICKWEED (1-8 LEAF STAGE) INCLUDING GROUP 2 RESISTANT BIOTYPES,CHICKWEED,CHICKWEED,STELLARIA MEDIA,2
1734,CLEAVERS (1-9 WHORL STAGE) INCLUDING GROUP 2 RESISTANT BIOTYPES,CLEAVERS,CLEAVERS,GALIUM APARINE L.,
