row_number(),Sites of Use,Crop_Name
1411,ESTABLISHED CREEPING RED FESCUE GROWN FOR SEED,
1412,ESTABLISHED CRESTED WHEAT GRASS GROWN FOR SEED,WHEAT
1413,ESTABLISHED INTERMEDIATE WHEAT GRASS GROWN FOR SEED,WHEAT
1414,ESTABLISHED MEADOW BROME GRASS GROWN FOR SEED,
1415,ESTABLISHED SMOOTH BROME GRASS GROWN FOR SEED,
1416,IMPROVED PASTURES INTRODUCED FORAGE GRASS SPECIES,
1417,IMPROVED PASTURES NON-NATIVE FORAGE GRASS SPECIES,
1418,IMPROVED PASTURES TAME FORAGE GRASS SPECIES,
1419,SEEDLING CREEPING RED FESCUE GROWN FOR SEED,
1420,SEEDLING CRESTED WHEAT GRASS GROWN FOR SEED,WHEAT
1421,SEEDLING INTERMEDIATE WHEAT GRASS GROWN FOR SEED,WHEAT
1422,SEEDLING MEADOW BROME GRASS GROWN FOR SEED,
1423,SEEDLING SMOOTH BROME GRASS GROWN FOR SEED,
1424,SEEDLING TIMOTHY GROWN FOR SEED,
1425,CANOLA (INCLUDING GLYPHOSATE TOLERANT VARIETIES),CANOLA
1426,SUGAR BEETS (GLYPHOSATE TOLERANT),
1427,CAMELINA,
1428,CILANTRO,
1429,MUSKMELONS,
1430,MUSTARD (CONDIMENT) [BROWN],
1431,MUSTARD (CONDIMENT) [ORIENTAL],
1432,MUSTARD (CONDIMENT) [YELLOW],
1433,MUSTARD (OILSEED) [BROWN],
1434,MUSTARD (OILSEED) [ORIENTAL],
1435,MUSTARD (OILSEED) [YELLOW],
1436,WATERMELONS,
1437,FAIRWAYS (RED FESCUE,
1438, BLUE GRASSES,
1439, BENT GRASSES AND RYE GRASSES),
1440,GOLF GREENS (RED FESCUE,
1441,TURF (RED FESCUE,
1442,SEED CORN (SELECTED INBRED LINES),CORN
1443,SEEDLING PERENNIAL RYEGRASS,
1444,FIELD CORN (GROWN FOR GRAIN OR SILAGE),CORN
1445,PRODUCTION SEED CORN,CORN
1446,SECOND GENERATION GLYPHOSATE TOLERANT CANOLA ONLY OPTIMUM GLYTM CANOLA),CANOLA
1447,HIGHWAY RIGHT-OF-WAY,
1448,PIPELINE RIGHT-OF-WAY,
1449,POWER RIGHT-OF-WAY,
1450,RAILROAD RIGHT-OF-WAY,
1451,SECOND GENERATION GLYPHOSATE TOLERANT CANOLA (INCLUDING BUT NOT LIMITED TO OPTIMUM GLYTM CANOLA),CANOLA
1452,SIMILAR INDUSTRIAL AREAS,
1453,SIMILAR NON-CROP AREAS,
1454,TELEPHONE RIGHT-OF-WAY,
1455,LEGUME,
1456,ALL FIELD CROPS MINIMUM TILLAGE CROPPING SYSTEMS,
1457,ALL FIELD CROPS ZERO TILLAGE CROPPING SYSTEMS,
1458,CORN (GLYPHOSATE TOLERANT) (VARIETIES WITH GENETIC RESISTANCE TO GLYPHOSATE),CORN
1459,GLYPHOSATE TOLERANT CANOLA (I.E. VARIETIES WITH GENETIC RESISTANCE TO GLYPHOSATE),CANOLA
1460,GLYPHOSATE TOLERANT SOYBEAN (I.E. VARIETIES WITH GENETIC RESISTANCE TO GLYPHOSATE),
1461,MOUNTAIN ASH,
1462,RUSSIAN OLIVE,
1463,YEW,
1464,CANOLA (ROUNDUP READY VARIETIES),CANOLA
1465,SECOND GENERATION GLYPHOSATE TOLERANT CANOLA (INCLUDING OPTIMUM GLYR  CANOLA VARIETIES),CANOLA
1466,SOYBEAN (ROUNDUP READY),
1467,SOYBEAN (ROUNDUP READY®),
1468,TURF GRASS,
1469,BARLEY (MALTING BARLEY),BARLEY
1470,RAPESEED (INCLUDING GLYPHOSATE TOLERANT VARIETIES),
1471,BEARING AND NON-BEARING POME FRUIT (CG 11-09),
1472,TALL WHEATG,WHEAT
1473,PROCESSING PUMPKIN VARIETIES,
1474,IMAZAMOX TOLERANT CANOLA,CANOLA
1475,IMAZAMOX TOLERANT CANOLA QUALITY BRASSICA JUNCEA,CANOLA
1476,IMAZAMOX TOLERANT LENTILS,
1477,IMAZAMOX TOLERANT SUNFLOWERS,
1478,DURUM SPRING  WHEAT,WHEAT
1479,CHEMFALLOW,
1480,SPRING WHEAT (EXCLUDING DURUM),WHEAT
1481,MEADOW BROMEGRASS,
1482,NORTHERN WHEATGRASS,WHEAT
1483,WESTERN WHEATGRASS,WHEAT
1484,CANOLA (RAPESEED) (INCLUDING ROUNDUP READY® VARIETIES),CANOLA
1485,CORN VARIETIES WITH ROUNDUP READY® 2 TECHNOLOGY,CORN
1486,ROUNDUP READY® CANOLA VARIETIES,CANOLA
1487,ROUNDUP READY® SUGAR BEETS VARIETIES,
1488,NON-AGRICULTURAL FENCEROWS,
1489,RAIL YARD,
1490,RAIL YARDS,
1491,RAILROAD CROSSINGS,
1492,RAILROAD,
1493, UTILITY,
1494, PIPELINE / HIGHWAY RIGHTS-OF-WAY,
1495, PIPELINE RIGHTS-OF-WAY,
1496,UTILITY PLANT SITES,
1497,ABELIA,
1498,AGAPANTHUS (AGAPANTHUS),
1499,AGERATURN,
1500,AJUGA,
1501,ASPARAGUS (SPRENGERI),
1502,ASTER,
1503,AUCUBA,
1504,AZALEA,
1505,BEAN TREE (LABURNUM),
1506,BIRCH,
1507,BLACK WALNUT,
1508,BOTTLEBRUSH,
1509,BOUGAINVILLEA,
1510,BOX TREE (BUXUS),
1511,BOXWOOD (BUXUS),
1512,BOYSENBERRIES,
1513,CAMELLIA,
1514,CEDAR,
1515,CHOKECHERRY (PRUNUS),
1516,COTONEASTER,
1517,CRABAPPLE (MALUS),
1518,CRAPE MYRTLE,
1519,CYPRESS,
1520,DAHLIA,
1521,DAISY,
1522,DOGWOOD,
1523,DOUGLAS FIR,
1524,EUCALYPTUS,
1525,EUONYMUS (EUONYMUS),
1526,FILBERT,
1527,FIRETHORN (PYRACANTHA),
1528,FORSYTHIA,
1529,FOUNDATION ORNAMENTAL PLANTINGS,
1530,GARDENIA,
1531,GAZANIA (GAZANIA),
1532,GERANIUM,
1533,HAWTHORN (CRATAEGUS),
1534,HEDERA,
1535,HIBISCUS,
1536,HIBISCUS (HIBISCUS),
1537,HIGHWAYS ORNAMENTAL PLANTINGS,
1538,HOLLY (ILEX),
1539,HONEYSUCKLE (LONICERA),
1540,HYPERICUM,
1541,INDUSTRIAL ORNAMENTAL PLANTINGS,
1542,IVY,
1543,IVY (HEDERA),
1544,JUNIPER (JUNIPERUS),
1545,LANTANA,
1546,LEUCOTHOE,
1547,LIRIOPE,
1548,LOCUST (GLEDITSIA),
1549,LOGANBERRIES,
1550,MAPLE (ACER),
1551,NANDINA,
1552,NARCISSUS,
1553,PACHYSANDRA,
1554,PEAR TREE (PYRUS),
1555,PETUNIA,
1556,PHOTINIA,
1557,PIN OAK,
1558,PINE (PINUS),
1559,PINE SP. (PINUS SP.),
1560,PIVET SP. (LIGUSTRUM),
1561,PODOCARPOUS (PODOCARPUS),
1562,PRIVET (LIGUSTRUM),
1563,RAPHOIOLEPIS,
1564,RHODODENDRON (RHODODENDRON),
1565,SEDUM,
1566,SHRUB ROSE (ROSA),
1567,SILVER POPLAR (POPULUS),
1568,SPINDLE TREE (EUONYMUS),
1569,SPRUCE (PICEA),
1570,ST. JOHN'S-WORT (HYPERICUM),
1571,STAR JASMINE,
1572,THUYA (THUJA),
1573,TOBIRA (PITTOSPORUM),
1574,VINCA,
1575,WHITE POPLAR (POPULUS),
1576,CRAPAPPLE (MALUS),
1577,GAZANIA,
1578,JAPANESE LARCH,
1579,OSMANTHUS,
1580,OSTEOSPERMUM,
1581,PLANTAIN LILY,
1582,ROSE (ROSA),
1583,VIBURNUM,
1584,ACER,
1585,AGAPANTHUS,
1586,BUXUS,
1587,CHINESE CABBAGE (NAPPA CABBAGE),
1588,CHINESE MUSTARD CABBAGE,
1589,CRATAEGUS,
1590,FUZZY SQUASH,
1591,GLEDITSIA,
1592,ILEX,
1593,JUNIPERUS,
1594,LABURNUM,
1595,LIGUSTRUM,
1596,MALUS,
1597,PICEA,
1598,PINUS,
1599,PITTOSPORUM,
1600,PLANTAIN LILY (HOSTA),
1601,PODOCARPUS,
1602,POPULUS,
1603,PRUNUS,
1604,PYRACANTHA,
1605,PYRUS,
1606,ROSA,
1607,TAXUS,
1608,THUJA,
1609,TOBACCO,
1610,VIRBURNUM,
1611,APPLES NEWLY PLANTED,
1612,COMMERCIAL SITES,
1613,FORESTRY SITES,
1614,OTHER NON-CROPLAND SITES,
1615,RESIDENTIAL SITES,
1616,RIGHT-OF-WAY SITES,
1617,FIELD CORN (GROWN FOR GRAIN),CORN
1618,FIELD CORN (GROWN FOR SEED),CORN
1619,FIELD CORN (GROWN FOR SILAGE),CORN
1620,TURFGRASS (COMMERCIAL LAWNS),
1621,TURFGRASS (RESIDENTIAL LAWNS),
1622,TURFGRASS (SOD FARMS),
1623,TURFGRASS GOLF COURSES,
1624,TURFGRASS PARKS / RECREATIONAL AREAS,
1625,CREEPING BENTGRASS (AGROSTIS PALUSTRIS),
1626,FINE FESCUE (FESTUCA RUBRA),
1627,GOLF COURSE PUTTING GREENS,
1628,KENTUCKY BLUEGRASS (POA PRATENSIS),
1629,PERENIAL RYEGRASS (LOLIUM PERENNE),
1630,TALL FESCUE (FESTUCA ARUNDINACEA),
1631,ALL NON-CROPLAND USES,
1632,ASH FRAXINUS SPP.,
1633,CARAGANA CARAGANA SPP.,
1634,CHERRY (SWEET/SOUR),
1635,CHERRY PRUNUS SPP.,
1636,ELM ULMUS SPP.,
1637,FILBERTS (ESTABLISHED PLANTATIONS),
1638,FIR  ABIES SPP.,
1639,FORAGE GRASSES AND LEGUMES INCLUDING SEED PRODUCTION,
1640,FORAGES GRASSES,
1641,HAZELNUT (ESTABLISHED PLANTATIONS),
1642,JUNIPER JUNIPERUS SPP.,
1643,LILAC SYRINGA SPP.,
1644,MAPLE ACER SPP.,
1645,MOUNTAIN ASH SORBUS SPP.,
1646,NON-CROP AREAS SUCH AS RAILROAD,
1647, PIPELINE,
1648, HIGHWAY,
1649, POWER AND TELEPHONE RIGHTS-OF-WAY,
1650, PETROLEUM TANK FARMS,
1651, PUMPING INSTALLATIONS,
1652, ROADSIDES,
1653, STORAGE AREAS,
1654, LUMBERYARDS,
1655, FENCE ROWS,
1656, INDUSTRIAL PLANT SITES,
1657, PARKING AREAS,
1658, SCHOOL YARDS,
1659, PARKS,
1660, GOLF COURSES,
1661, OTHER PUBLIC AREAS,
1662, AIRPORTS,
1663, SIMILAR INDUSTRIAL  AREAS,
1664,PINE PINUS SPP.,
1665,POPLAR POPULUS SPP.,
1666,ROUNDUP READY® SUGAR BEETS,
1667,RUSSIAN OLIVE ELAEAGNUS SPP.,
1668,SHORT ROTATION INTENSIVE CULTURE (SRIC) POPLAR (POPULUS SPP),
1669,SOYBEANS (INCLUDING ROUNDUP READY® VARIETIES),
1670,SPRUCE PICEA SPP.,
1671,TURF RENOVATION,
1672,WILLOW SALIX SPP.,
1673,YEW TAXUS SPP.,
1674,GENERAL FARMSTEAD NON-CROP AREAS,
1675,RAILWAY RIGHTS-OF-WAY,
1676,SIMILAR NON CROP AREAS,
1677,UTILITY RIGHTS-OF-WAY,
1678,FALLOW CROP LANDS,
1679,DRAINAGE DITCHES,
1680,IRRIGATION DITCHES,
1681,CREEPING RED FESCUE SEEDLING OR ESTABLISHED,
1682,CRESTED WHEATGRASS SEEDLING OR ESTABLISHED,WHEAT
1683,INTERMEDIATE WHEATGRASS SEEDLING OR ESTABLISHED,WHEAT
1684,KENTUCKY BLUEGRASS ESTABLISHED,
1685,NORTHERN WHEATGRASS SEEDLING OR ESTABLISHED,WHEAT
1686,ORCHARD GRASS SEEDLING OR ESTABLISHED,
1687,PUBESCENT WHEATGRASS SEEDLING OR ESTABLISHED,WHEAT
1688,SLENDER WHEATGRASS SEEDLING OR ESTABLISHED,WHEAT
1689,SMOOTH BROMEGRASS SEEDLING OR ESTABLISHED,
1690,STREAMBANK WHEATGRASS SEEDLING OR ESTABLISHED,WHEAT
1691,SULFONYLUREA TOLERANT CANOLA,CANOLA
1692,TALL FESCUE SEEDLING OR ESTABLISHED,
1693,TALL WHEATGRASS SEEDLING OR ESTABLISHED,WHEAT
1694,WESTERN WHEATGRASS SEEDLING OR ESTABLISHED,WHEAT
1695,BALSAM FIR (ESTABLISHED),
1696,BLACK SPRUCE (TRANSPLANT),
1697,BURNING BUSH (EUONYMOUS SPP.),
1698,CANTALOUPE (TRANSPLANTED),
1699,CARROTS (IN MINERAL SOILS),
1700,CARROTS (IN MUCK SOILS (ORGANIC MATTER > 20%),
1701,CONIFERS (ESTABLISHED),
1702,DAYLILY (HEMEROCALLIS SPP.),
1703,DIRECT SEEDED FIELD CUCUMBER,
1704,EASTERN WHITE-CEDAR (THUJA SPP.),
1705,FIELD PEPPERS,
1706,FRASER FIR (ESTABLISHED),
1707,HERBACEOUS OUTDOOR ORNAMENTALS,
1708,HIGHBUSH BLUEBERRIES (NEW AND ESTABLISHED PLANTINGS),
1709,HOSTA (HOSTA SPP.),
1710,HYBRID CORN,CORN
1711,JACK PINE (SEEDLING STOCK),
1712,JACK PINE (TRANSPLANT),
1713,NORWAY SPRUCE (SEEDLING STOCK),
1714,NORWAY SPRUCE (TRANSPLANT),
1715,PEANUT,
1716,PEARL MILLET GROWN FOR ANIMAL FEED (GRAIN OR FORAGE),
1717,POPLAR STOOLBEDS,
1718,RED BEETS,
1719,RED PINE (SEEDLING STOCK),
1720,RED PINE (TRANSPLANT),
1721,RHODODENDRON (RHODODENDRON SPP),
1722, IMMATURE SEED,
1723,STRAWBERRIES (BEARING AND NEWLY PLANTED),
1724,TRANSPLANTED TOMATOES  FIELD TOMATOES GROWN FOR FRESH MARKET,
1725,TRANSPLANTED TOMATOES - GROWN FOR PROCESSING,
1726,WHITE PINE (ESTABLISHED),
1727,WHITE PINE (SEEDLING STOCK),
1728,WHITE PINE (TRANSPLANT),
1729,WHITE SPRUCE (ESTABLISHED),
1730,WHITE SPRUCE (SEEDLING STOCK),
1731,WHITE SPRUCE (TRANSPLANT),
1732,WOODY OUTDOOR ORNAMENTALS,
1733,ASIAN RADISH (MINERAL SOILS),
1734,ASIAN RADISH (MUCK SOILS ORGANIC MATTER >20%),
1735,BELL PEPPERS,
1736,CARROTS (MINERAL SOILS),
1737,CARROTS (MUCK SOILS (ORGANIC MATTER > 20%)),
1738,CELERY (MINERAL SOILS),
1739,CELERY MUCK SOILS (ORGANIC MATTER >20%),
1740,EGGPLANT (TRANSPLANTS ONLY),
1741,FIELD CUCUMBER (DIRECT SEEDED),
1742,FIELD TOMATOES GROWN FOR FRESH MARKET,
1743,PARSNIP (MINERAL SOIL),
1744,PARSNIP (MINERAL SOILS),
1745,PARSNIP (MUCK SOILS (ORGANIC MATTER >20%),
1746,PEARL MILLET FOR ANIMAL FEED (GRAIN OR FORAGE),
1747, IMMATURE SEED (EDAMAME),
1748,STRAWBERRIES (BEARING YEARS),
1749,STRAWBERRIES NEWLY PLANTED,
1750,TRANSPLANTED TOMATOES FOR FRESH MARKET OR PROCESSING,
1751,BIRD?S FOOT TREFOIL,
1752,CLEARFIELD LENTILS,
1753,CLEARFIELD SUNFLOWERS,
1754,SEEDLING CLOVER (ALSIKE) GROWN FOR SEED PRODUCTION,
1755,SEEDLING CLOVER (RED) GROWN FOR SEED PRODUCTION,
1756,SEEDLING CLOVER (SWEET) GROWN FOR SEED PRODUCTION,
1757,CROP-FREE LAND,
1758,PASTURE LANDS,
1759,CANOLA ARGENTINE VARIEITES,CANOLA
1760,CANOLA POLISH VARIEITES,CANOLA
1761,FIELD CORN (GLYPHOSATE TOLERANT - FOR GRAIN,CORN
1762, SILAGE OR GRAZING,
1763,GLYPHOSATE TOLERANT CORN FOR GRAIN,CORN
1764,AROUND GOLF COURSES,
1765,AROUND PLANT NURSERIES,
1766,AROUND STORAGE AREAS,
1767,AROUND TANK FARMS,
1768,NON-CROP AREAS OF THE GREENHOUSE,
1769,NON-CROP LAND AREAS,
1770,CANOLA (DIRECT-SEEDING SYSTEMS),CANOLA
1771,CARAWAY (DIRECT-SEEDING SYSTEMS),
1772,CORIANDER (DIRECT-SEEDING SYSTEMS),
1773,DILL (DIRECT-SEEDING SYSTEMS),
1774,DRY COMMON BEANS (PHASEOLUS SPP.),
1775,DRY COMMON BEANS (PHASEOLUS SPP.) (DIRECT-SEEDING SYSTEMS),
1776,ESTABLISHED ALFALFA (DIRECT-SEEDING SYSTEMS),
1777,FABABEANS (DIRECT-SEEDING SYSTEMS),
1778,FIELD PEAS (DIRECT-SEEDING SYSTEMS),PEAS
1779,LENTILS (DIRECT SEEDING SYSTEMS),
1780,LENTILS CONVENTIONAL TILLAGE AND DIRECT SEEDING SYSTEMS,
1781,SAFFLOWER (DIRECT-SEEDING SYSTEMS),
1782,SOYBEANS (DIRECT-SEEDING SYSTEMS),
1783,SUNFLOWERS (DIRECT-SEEDING SYSTEMS),
1784,YELLOW MUSTARD (DIRECT-SEEDING SYSTEMS),
1785,BROWN BEANS,
1786,CANOLA QUALITY BRASSICA JUNCEA,CANOLA
1787,CONDIMENT TYPE ORIENTAL MUSTARD,
1788,DRY COMMON BEANS OF THE SPECIES PHASEOLUS VULGARIS,
1789,ESTABLISHED ALSIKE CLOVER FOR SEED PRODUCTION,
1790,INDUSTRIAL HEMP GROWN FOR FIBRE PRODUCTION ONLY,
1791,OILSEED TYPE ORIENTAL MUSTARD,
1792,SEEDLING ALSIKE CLOVER SEED PRODUCTION ONLY,
1793,SEEDLING BIRDS-FOOT TREFOIL SEED PRODUCTION ONLY,
1794,SEEDLING LEGUMES FOR SEED PRODUCTION,
1795,SEEDLING OR ESTABLISHED CREEPING RED FESCUE FOR SEED PRODUCTION,
1796,SEEDLING RED CLOVER SEED PRODUCTION ONLY,
1797,SEEDLING SAINFOIN SEED PRODUCTION ONLY,
1798,SEEDLING SWEET CLOVER SEED PRODUCTION ONLY,
1799,SEEDLING WHITE CLOVER SEED PRODUCTION ONLY,
1800,WHITE  KIDNEY BEANS,
1801,COMMUNICATION LINES,
1802,ELECTRICAL POWER LINES,
1803,FARM BUILDINGS,
1804,MANUFACTURING SITES,
1805,RAILROADS,
1806,RANGELANDS,
1807,STORAGE SITES,
1808,ACORN SQUASH TRANSPLANTED ONLY,
1809,ASPARAGUS BEAN,
1810,BITTER MELON TRANSPLANTED ONLY,
1811,BUTTERNUT SQUASH TRANSPLANTED ONLY,
1812,CALABAZA TRANSPLANTED ONLY,
1813,CASABA MELON TRANSPLANTED ONLY,
1814, JERUSALEM ARTICHOKE,
1815, GARDEN BEET,
1816, SUGAR BEET,
1817, EDIBLE BURDOCK,
1818, CARROT,
1819, CELERIAC,
1820, TURNIP-ROOTED CHERVIL,
1821, CHICORY,
1822, GINSENG,
1823, HORSERADISH,
1824, TURNIP-ROOTED PARSLEY,
1825, PARSNIP,
1826, POTATO,
1827, RADISH,
1828, ORIENTAL RADISH,
1829, RUTABAGA,
1830, SALSIFY,
1831, BLACK SALSIFY,
1832, SPANISH SALSIFY,
1833, SWEET POTATO,
1834, TURNIP,
1835,CHINESE CUCUMBER TRANSPLANTED ONLY,
1836,CHINESE LONGBEAN,
1837,CITRON MELON TRANSPLANTED ONLY,
1838, CUCUMBER,
1839, GHERKIN,
1840, MOMORDICA SPP. (INCLUDES BITTER MELON,
1841, CHINESE CUCUMBER),
1842, MUSKMELON (INCLUDES TRUE CANTALOUPE,
1843, CASABA MELON,
1844, HONEY BALL MELON,
1845, SNAKE MELON),
1846, PUMPKIN,
1847, SQUASH,
1848, SUMMER (INCLUDES CROOKNECK SQUASH,
1849, SCALLOP SQUASH,
1850, STRAIGHTNECK SQUASH,
1851, VEGETABLE MARROW,
1852, ZUCCHINI),
1853, WINTER (INCLUDES BUTTERNUT SQUASH,
1854, CALABAZA,
1855, HUBBARD SQUASH,
1856, ACORN SQUASH,
1857, SPAGHETTI SQUASH),
1858, WATERMELON (INCLUDES HYBRIDS AND/OR VARIETIES OF CITRULLUS LANATUS),
1859,CRENSHAW MELON  TRANSPLANTED ONLY,
1860,CROOKNECK SQUASH TRANSPLANTED ONLY,
1861,CROP GROUP 12: STONE FRUITS,
1862,CROP GROUP 13: BERRIES,
1863,CROP GROUP 14-11: TREE NUTS,
1864,CROP GROUP 20: OILSEEDS: RAPE SEED,
1865, RAPE SEED,
1866, INDIAN,
1867, MUSTARD SEED,
1868, FLAX,
1869, SUNFLOWER,
1870, SAFFLOWER,
1871,CROP GROUP 3: BULB VEGETABLES (ALLIUM SPP.),
1872,CROP GROUP 4: LEAFY VEGETABLES (EXCEPT BRASSICA VEGETABLES),
1873,CROP GROUP 5: BRASSICA (COLE) LEAFY VEGETABLES,
1874,CROP GROUP 8: FRUITING VEGETABLES (EXCEPT CUCURBITS),
1875,CUCUMBER TRANSPLANTED ONLY,
1876,DRIED SHELLED PEA AND BEAN (EXCEPT LENTIL AND SOYBEAN): DRIED CULTIVARS OF BEAN (LUPINUS SPP. INCLUDES GRAIN LUPIN,PEAS
1877, AND WHITE SWEET LUPIN,
1878, PHASEOLUS SPP. INCLUDES FIELD BEAN,
1879,WHEAT (SPRING AND DURUM),WHEAT
1880,MON 87419 FIELD CORN,CORN
1881,ROUNDUP READY 2 XTEND SOYBEANS,
1882,SOYBEANS XTENDFLEX,
1883,XTENDFLEX SOYBEANS,
1884,BARLEY  (NOT UNDER SEEDED WITH LEGUMES),BARLEY
1885,ENLIST E3 SOYBEANS,
1886,ENLIST FIELD CORN,CORN
1887,RYE (NOT UNDER SEEDED WITH LEGUMES),
1888,WHEAT (NOT UNDER SEEDED WITH LEGUMES),WHEAT
1889,ENLIST SOYBEAN,
1890,WINTER VARIETIES OF WHEAT (INCLUDING DURUM),WHEAT
1891,ALFALFA (NEW SEEDLINGS),
1892,BIRDSFOOT TREFOIL (NEW SEEDLINGS),
1893,DRY COMMON BEANS (OF THE SPECIES PHASEOLUS VULGARIS),
1894,ROMANO BEANS,
1895,BRASSICA JUNCEA (CANOLA QUALITY),
1896,DRY BEANS (PHASEOLUS,
1897, LUPINUS AND VIGNA),
1898,SUNFLOWER (ALL TYPES INCLUDING IMAZETHAPYR AND IMAZAMOX TOLERANT),
1899,DRY BEANS (HARVEST AID),
1900,SOYBEANS (HARVEST AID),
1901,BLACKBERRY,
1902,CANOLA HARVEST AID (DESSICATION),CANOLA
1903,MALTING BARLEY,BARLEY
1904,WINTER BARLEY,BARLEY
1905,FENCE LINES,
1906,ROUGH TURF,
1907,UTILITY RIGHTS OF WAY,
1908,NON-RESIDENTIAL NON-CROP AREAS (AROUND FARM BUILDINGS),
1909,NON-RESIDENTIAL NON-CROP AREAS (FENCE ROWS),
1910,NON-RESIDENTIAL NON-CROP AREAS (GOVERNMENT SITES),
1911,NON-RESIDENTIAL NON-CROP AREAS (HARDSCAPES),
1912,NON-RESIDENTIAL NON-CROP AREAS (INDUSTRIAL SITES),
1913,NON-RESIDENTIAL NON-CROP AREAS (MANAGED ROADSIDES),
1914,NON-RESIDENTIAL NON-CROP AREAS (MILITARY BASES),
1915,NON-RESIDENTIAL NON-CROP AREAS (MUNICIPAL SITES),
1916,NON-RESIDENTIAL NON-CROP AREAS (RAILROAD AND RAIL YARDS),
1917,NON-RESIDENTIAL NON-CROP AREAS (UTILITIES),
1918,NON-RESIDENTIAL NON-CROP AREAS GRAZED OR HAYED AREAS WITHIN THESE SITES,
1919,KIDNEY BEANS,
1920,ONIONS (DRY BULBS ONLY),
1921,ALFALFA GROWN FOR SEED OR FORAGE,
1922,ALSIKE CLOVER GROWN FOR SEED OR FORAGE,
1923,CANARY SEED (PRE-SEED),
1924,CREEPING RED FESCUE GROWN FOR SEED OR FORAGE,
1925,CRESTED WHEATGRASS GROWN FOR FORAGE AND SEED PRODUCTION,WHEAT
1926,DRY BEAN (PRE-SEED),
1927, (PRE-SEED),
1928,HYBRID BROMEGRASS GROWN FOR FORAGE AND SEED PRODUCTION,
1929,LUPIN (PRE-SEED),
1930,MEADOW BROMEGRASS GROWN FOR FORAGE AND SEED PRODUCTION,
1931,MEADOW FESCUE GROWN FOR FORAGE AND SEED PRODUCTION,
1932,OATS (PRE-SEED),
1933,RED CLOVER GROWN FOR SEED OR FORAGE,
1934,SAINFOIN GROWN FOR SEED OR FORAGE,
1935,SLENDER WHEATGRASS GROWN FOR FORAGE AND SEED PRODUCTION,WHEAT
1936,SMOOTH BROMEGRASS GROWN FOR SEED OR FORAGE,
1937,SOYBEAN (PRE-SEED),
1938,SPRING BARLEY (PRE-SEED),BARLEY
1939,SPRING WHEAT (INCLUDING DURUM) (PRE-SEED),WHEAT
1940,TALL FESCUE GROWN FOR FORAGE AND SEED PRODUCTION,
1941,TIMOTHY GROWN FOR SEED OR FORAGE,
1942,TRIBENURON-METHYL TOLERANT SUNFLOWERS (E.G. EXPRESSSUN? SUNFLOWERS SU7),
1943,WINTER WHEAT (PRE-SEED),WHEAT
1944,YELLOW SWEET CLOVER GROWN FOR SEED OR FORAGE,
1945,CANOLA (ALL VARIETIES,CANOLA
1946, INCLUDING HERBICIDE TOLERANT),
1947,CANOLA BRASSICA NAPUS  ALL VARIETIES,CANOLA
1948, INCLUDING CONVENTIONAL,
1949, LIBERTYLINK,
1950, ROUNDUP READY,
1951,GOLF COURSES (ROUGHS,
1952, FAIRWAYS),
1953,SITES TO BE PLANTED TO CONIFERS,
1954,SEEDLING AND ESTABLISHED TALL FESCUE GROWN FOR SEED,
1955,CHICKLING VETCH / GRASS PEA,
1956,DRY COMMON BEANS (PHASEOLUS VULGARIS ),
1957,IMAZETHAPYR TOLERANT CORN (CLEARFIELD),CORN
1958,NA,
1959,CARROTS (IN MINERAL SOIL),
1960,CARROTS (IN MUCK SOIL),
1961,COMMERCIAL ORNAMENTAL PRODUCTION,
1962,CONIFERS FOR FIELD PRODUCTION INCLUDING CHRISTMAS TREES,
1963,DRY BULB ONIONS  ON MINERAL SOILS,
1964,GREEN (BUNCHING) ONIONS,
1965,GREEN (BUNCHING) ONIONS ON MUCK SOILS,
1966,NECTARINE TREES,
1967,PEARL MILLET (FORAGE,
1968, GRAIN / SWEET STEM),
1969,NEW/ESTABLISHED STANDS OF RED FESCUE,
1970,OATS (NOT UNDERSEEDED TO LEGUMES),
1971,REDUCED TILLAGE FALLOW,
1972,ROUNDUP READY® 2 XTEND SOYBEANS,
1973,SPRING BARLEY (NOT UNDERSEEDED TO LEGUMES),BARLEY
1974,SPRING RYE (NOT UNDERSEEDED TO LEGUMES),
1975,SPRING WHEAT (NOT UNDERSEEDED TO LEGUMES),WHEAT
1976,WINTER WHEAT (NOT UNDERSEEDED TO LEGUMES),WHEAT
1977,FIELD CORN (MINIMUM AND NO-TILL ONLY),CORN
1978,LENTIL LARGE GREEN VARIETIES,
1979,LENTIL SMALL RED,
1980,SPRING WHEAT (MINIMUM AND NO-TILL ONLY),WHEAT
1981,WINTER WHEAT (MINIMUM AND NO-TILL ONLY),WHEAT
1982,ABOVE-GROUND PIPELINES,
1983,ALONG FENCEROWS,
1984,BRICKYARDS,
1985,FALLOW LAND,
1986,FIELD CORN MINIMUM AND NO-TILL,CORN
1987,GRAVEL SHOULDERS,
1988,IMPROVED ROADSIDE AREAS,
1989,LENTIL SMALL RED VARIETIES,
1990,LUMBER YARDS,
1991,MILITARY INSTALLATIONS,
1992,NON-CROP AREAS OF FARMS,
1993,PARKING,
1994,PLANT SITES,
1995,RAILROAD BEDS,
1996,RAILROAD YARDS,
1997,ROAD SURFACES,
1998,SUBSTATIONS,
1999,UNDER GUARDRAILS,
2000,FIELD CORN (ONLY FOR MINIMUM AND NO-TILL),CORN
2001,LENTILS LARGE GREEN,
2002,LENTILS SMALL RED,
2003,SPRING WHEAT (ONLY FOR MINIMUM AND NO-TILL),WHEAT
